ID,Since,Last tweeted at,Tweets,Favorites,Listed,Following,Followers,Screen name,Name,Verified,Protected,Bio,Status,Location,URL
14669471,2008-05-06 04:34:28 +0000,2016-04-25 18:55:54 +0000,25690,30,3114,412,63084,csoghoian,Christopher Soghoian,false,false,I fight surveillance. (Views expressed here are my own.). Taking a PGP break. Encrypted communications via Signal/WhatsApp/Jabber/Ricochet instead please.,"Conveniently enough, every senior US government official who is publicly critical of encryption isn't an IT expert. https://t.co/aGkYwaGcTZ",Washington D.C.,https://www.dubfire.net
6742522,2007-06-11 14:35:18 +0000,2016-04-25 18:22:19 +0000,58687,2824,1070,12725,15951,hypatiadotca,Leigh Honeywell,false,false,"'Judge, Jury and Executioner of Jargon' -- my boss. Canadian in Silly Valley. Security at @slackhq.","""The Dig"" and ""Afterlife"", two of my fav games of all time, are on mega-sale on @GOGcom right now: https://t.co/39OWxaoGkY","San Francisco, CA",http://hypatia.ca/about
17797084,2008-12-02 02:36:53 +0000,2016-04-25 19:07:22 +0000,32433,25598,525,872,12034,jessysaurusrex,Jessy Irwin,false,false,"Ladygeek in the streets, sign bunnies in my tweets. Security Empress for my boo @1Password. I wear big necklaces and hack things. #edtech + #infosec = #edsec","@selenalarson I, too, am a huddled mass under a bunch of blankets rn. So cold, ugh.","San Francisco, CA",http://jessysaurusrex.com
2916305152,2014-12-11 21:24:28 +0000,2016-04-25 16:46:27 +0000,857,1,13607,1,2022899,Snowden,Edward Snowden,true,false,I used to work for the government. Now I work for the public. Director at @FreedomofPress.,"RT @BiellaColeman: If a picture is worth a thousand words, this gif is worth like a million https://t.co/NrtP8A0roY",,https://freedom.press
2436389418,2014-04-10 02:54:26 +0000,2016-04-25 19:12:30 +0000,33851,39948,3340,5177,124743,SwiftOnSecurity,SecuriTay,false,false,"I make stupid jokes, talk about consumer technology security, and use Oxford commas. I run @TayDiscus for long-form discussion.",@the_mckern @jessysaurusrex that's a name I haven't heard in a very long time,"New York, USA",http://decentsecurity.com
18983429,2009-01-14 17:13:48 +0000,2016-04-25 19:12:17 +0000,182665,2697,2088,328,48175,thegrugq,the grugq,false,false,"Security Researcher :: Cultural Attaché :: PGP https://t.co/JAjLPrVq1q :: Не верь, не бойся, не проси","@HowellONeill if the threat is “will be screen shotted” this defeats that. If you need plausible deniability, it does not.",http://grugq.github.io,http://grugq.tumblr.com
